id,tag
L502BSB5104,cancer
L502BSB5103,cancer
L502BSB5102,cancer
L502BSB5098,cancer
L502BSB5097,cancer
L502BSB5096,cancer
L502BSB5095,cancer
L502BSB6406,cancer
L502BSB6405,cancer
L502BSB6404,cancer
L502BSB6401,cancer
04015630945689,cancer
00630414971308,cancer
00630414971155,cancer
00630414461281,cancer
00630414461274,cancer
00630414598154,cancer
00630414598116,cancer
05055331333247,cancer
05055331315816,cancer
05055331304001,cancer
05055331335210,cancer
04560189211100,cancer
00847627010988,cancer
05700572034346,cancer
05700572030973,cancer
05700572030881,cancer
B502BSB64070,cancer
B502BSB64030,cancer
B502BSB64020,cancer
B502BSB51010,cancer
B502BSB51000,cancer
B502BSB50990,cancer
B502BSB50940,cancer
B502BSB50930,cancer
B502BSB50920,cancer
15099590232382,cancer
15099590232375,cancer
15099590231866,cancer
15099590231859,cancer
14560189210216,cancer
14560189210179,cancer
00380740145385,cancer
00380740145378,cancer
00380740145361,cancer
00380740145347,cancer
00380740145330,cancer
00380740145323,cancer
00380740131050,cancer
00380740131043,cancer
00380740131036,cancer
00380740003401,cancer
00380740003395,cancer
00380740003388,cancer
00380740003364,cancer
00380740003357,cancer
00380740003340,cancer
00380740003333,cancer
00380740003319,cancer
00380740145385,cancer
00380740145378,cancer
00380740145361,cancer
00380740145347,cancer
00380740145330,cancer
00380740145323,cancer
00380740145316,cancer
00380740145293,cancer
15099590232382,cancer
15099590232375,cancer
15099590231866,cancer
15099590231859,cancer
20680651480341,cancer
00816870022185,cancer
00816870022178,cancer
00816870022161,cancer
00816870022154,cancer
00816870020501,cancer
00816870020495,cancer
00816870020488,cancer
00816870020471,cancer
10758750034901,cancer
10758750034826,cancer
10758750001323,cancer
10758750001316,cancer
10758750001002,cancer
10758750000999,cancer
10758750000548,cancer
10758750000531,cancer
00630414461359,cancer
00630414461335,cancer
00630414461328,cancer
00630414461311,cancer
00630414461298,cancer
00630414293509,cancer
00630414964331,cancer
00630414963655,cancer
00630414961088,cancer
00630414461304,cancer
00630414293509,cancer
00630414293493,cancer
00630414598147,cancer
00630414598130,cancer
00630414598123,cancer
00630414598109,cancer
00630414598093,cancer
00630414598086,cancer
04560189211148,cancer
04987270235102,cancer
04987270234273,cancer
04987270230688,cancer
04987270230640,cancer
00842768028526,cancer
00842768028519,cancer
00859110005739,cancer
00859110005722,cancer
00850011135266,cancer
00380740146269,cancer
00380740138738,cancer
10193489050356,cancer
10887488685458,cancer
10887488724591,cancer
10888439924374,cancer
10887488401744,cancer
00634782083137,cancer
10195594585549,cancer
10195594699611,cancer
10197106247457,cancer
04560189211131,cancer
04560189211094,cancer
15099590231842,cancer
15099590231835,cancer
15420045500808,cancer
15420045500792,cancer
14560189210209,cancer
00380740137304,cancer
00380740155919,cancer
10190302008174,cancer
00816870022208,cancer
00816870022192,cancer
00816870020525,cancer
00816870020518,cancer
04015630939640,cancer
04015630904297,cancer
10758750002368,cancer
10758750002351,cancer
10758750000555,cancer
00380740105464,cancer
00630414293516,cancer
00630414598178,cancer
00630414598161,cancer
00630414574257,cancer
00630414574028,cancer
04987270235126,cancer
00842768028533,cancer
15420045500822,cancer
15420045500761,cancer
15420045500754,cancer
15420045500747,cancer
15420045500730,cancer
25420045500775,cancer
15420045500815,cancer
15415219000758,cancer
00884999046610,cancer
00849811056864,cancer
00849811056857,cancer
00849811031717,cancer
00841439113578,cancer
10193489047752,cancer
30080196322934,cancer
00884999002128,cancer
00634782083786,cancer
00634782083564,cancer
00845821026637,cancer
00634782075521,cancer
00634782075163,cancer
00634782075071,cancer
00634782075002,cancer
00634782074937,cancer
00860001218282,cancer
00860001218275,cancer
00860001218251,cancer
00860001218244,cancer
00860001218237,cancer
00860001218220,cancer
00810563022063,cancer
00810563022056,cancer
00810563022049,cancer
00810563022032,cancer
00810563021684,cancer
00810563020670,cancer
00810563020496,cancer
00810563020489,cancer
00810563020427,cancer
00810563020397,cancer
00810563020380,cancer
00810563020267,cancer
00810563020250,cancer
00810563020120,cancer
00810563020113,cancer
00810563020106,cancer
00810563020083,cancer
00810563020076,cancer
00810563020069,cancer
00810563020052,cancer
00810563020045,cancer
00810563020038,cancer
00810563020021,cancer
00810563020014,cancer
00810563020007,cancer
07290104831164,cancer
07290104831133,cancer
07290104831089,cancer
07290104831072,cancer
07290104831041,cancer
07290104831010,cancer
07290104830990,cancer
07290104830945,cancer
07290104830938,cancer
07290104830594,cancer
07290104830587,cancer
07290104830563,cancer
07290104830525,cancer
07290104830303,cancer
07290104830266,cancer
07290104830242,cancer
07290104830211,cancer
07290104830204,cancer
07290104830181,cancer
07290104830105,cancer
07290104830082,cancer
07290104830075,cancer
07290104830068,cancer
07290104831195,cancer
07290104831065,cancer
07290104831058,cancer
07290104831034,cancer
07290104831027,cancer
07290104831003,cancer
07290104830983,cancer
07290104830570,cancer
07290104830556,cancer
07290104830518,cancer
07290104830426,cancer
07290104830327,cancer
07290104830310,cancer
07290104830297,cancer
07290104830280,cancer
07290104830273,cancer
07290104830198,cancer
07290104830181,cancer
07290104830105,cancer
07290104830099,cancer
07290104830082,cancer
07290104830075,cancer
07290104830068,cancer
00810563020977,cancer
00849811050619,cancer
00192721001456,cancer
00192721001449,cancer
00192721001432,cancer
00192721001418,cancer
00192721000770,cancer
00192721000763,cancer
00192721000756,cancer
00816270020088,cancer
00859812006058,cancer
00859812006041,cancer
00859812006034,cancer
00859812006027,cancer
00859812006010,cancer
00816917025216,cancer
M769FITCHEK361,cancer
M769FITCHEK351,cancer
M769FITCHEK341,cancer
M769FITCHEK331,cancer
00634782075439,cancer
00634782075347,cancer
00634782083144,cancer
00845821024787,cancer
00845821004703,cancer
04250406400003,cancer
00849832004561,cancer
00849832003595,cancer
00884999027060,cancer
